province,temperature,month
British Columbia,4,1
British Columbia,3,1
British Columbia,7,1
British Columbia,6,1
British Columbia,7,1
British Columbia,3,1
British Columbia,,1
British Columbia,,1
British Columbia,4,1
British Columbia,5,1
British Columbia,5,1
British Columbia,6,1
British Columbia,5,1
British Columbia,5,1
British Columbia,,1
British Columbia,4,1
British Columbia,6,1
British Columbia,3,1
British Columbia,7,1
British Columbia,6,1
British Columbia,6,1
British Columbia,5,1
British Columbia,6,1
British Columbia,6,1
British Columbia,2,1
British Columbia,2,1
British Columbia,5,1
British Columbia,7,1
British Columbia,6,1
British Columbia,4,1
British Columbia,3,1
British Columbia,6,1
British Columbia,3,1
British Columbia,4,1
British Columbia,3,1
British Columbia,4,1
British Columbia,4,1
British Columbia,,1
British Columbia,3,1
British Columbia,4,1
British Columbia,4,1
British Columbia,6,1
British Columbia,6,1
British Columbia,3,1
British Columbia,7,1
British Columbia,,1
British Columbia,6,1
British Columbia,6,1
British Columbia,4,1
British Columbia,4,1
British Columbia,6,1
British Columbia,7,1
British Columbia,2,1
British Columbia,3,1
British Columbia,4,1
British Columbia,2,1
British Columbia,5,1
British Columbia,6,1
British Columbia,4,1
British Columbia,6,1
British Columbia,6,1
British Columbia,6,1
British Columbia,3,1
British Columbia,,1
British Columbia,5,1
British Columbia,6,1
British Columbia,4,1
British Columbia,,1
British Columbia,6,1
British Columbia,4,1
British Columbia,4,1
British Columbia,4,1
British Columbia,4,1
British Columbia,1,1
British Columbia,-2,1
British Columbia,4,1
British Columbia,4,1
British Columbia,2,1
British Columbia,2,1
British Columbia,1,1
British Columbia,2,1
British Columbia,2,1
British Columbia,2,1
British Columbia,4,1
British Columbia,2,1
British Columbia,-2,1
British Columbia,-2,1
British Columbia,2,1
British Columbia,3,1
British Columbia,3,1
British Columbia,2,1
British Columbia,4,1
British Columbia,3,1
British Columbia,4,1
British Columbia,1,1
British Columbia,2,1
British Columbia,5,1
British Columbia,0,1
British Columbia,3,1
British Columbia,-3,1
British Columbia,-3,1
British Columbia,-3,1
British Columbia,2,1
British Columbia,3,1
British Columbia,-17,1
British Columbia,-5,1
British Columbia,-4,1
British Columbia,-4,1
British Columbia,3,1
British Columbia,-4,1
British Columbia,-11,1
British Columbia,-9,1
British Columbia,-9,1
British Columbia,-8,1
British Columbia,-8,1
British Columbia,-2,1
British Columbia,-2,1
British Columbia,-12,1
British Columbia,-7,1
British Columbia,-12,1
British Columbia,-8,1
British Columbia,-9,1
British Columbia,-9,1
British Columbia,-9,1
British Columbia,-7,1
British Columbia,-7,1
British Columbia,-8,1
British Columbia,-8,1
