Location ID,Location,Temp,Rank,Anomaly (1901-2000 base period),1901-2000 Mean,Month
101,Alabama CD 1. Northern Valley,7.555555556,112,5.5,40.1,1
102,Alabama CD 2. Appalachian Mountain,7.888888889,111,5.1,41.1,1
103,Alabama CD 3. Upper Plains,9.111111111,111,5,43.4,1
104,Alabama CD 4. Eastern Valley,8.722222222,111,5,42.7,1
105,Alabama CD 5. Piedmont Plateau,9.055555556,109,4.3,44,1
106,Alabama CD 6. Prairie,10.27777778,107,4.2,46.3,1
107,Alabama CD 7. Coastal Plain,11.5,104,4.3,48.4,1
108,Alabama CD 8. Gulf,12.61111111,105,3.9,50.8,1
201,Arizona CD 1. Northwest,7.611111111,105,3.4,42.3,1
202,Arizona CD 2. Northeast,1.277777778,102,3.4,30.9,1
203,Arizona CD 3. North Central,6.833333333,107,3.4,40.9,1
204,Arizona CD 4. East Central,7.111111111,112,3.9,40.9,1
205,Arizona CD 5. Southwest,12.61111111,101,2.6,52.1,1
206,Arizona CD 6. South Central,11.5,96,2.4,50.3,1
207,Arizona CD 7. Southeast,8.777777778,100,2.5,45.3,1
301,Arkansas CD 1. Northwest,4.277777778,109,4.7,35,1
302,Arkansas CD 2. North Central,4.611111111,108,4.7,35.6,1
303,Arkansas CD 3. Northeast,5.777777778,109,5.3,37.1,1
304,Arkansas CD 4. West Central,5.944444444,109,4.5,38.2,1
305,Arkansas CD 5. Central,6.611111111,105,3.7,40.2,1
306,Arkansas CD 6. East Central,7.444444444,113,5.3,40.1,1
307,Arkansas CD 7. Southwest,7.833333333,111,4.3,41.8,1
308,Arkansas CD 8. South Central,8.222222222,107,4,42.8,1
309,Arkansas CD 9. Southeast,8.5,110,4.7,42.6,1
401,California CD 1. North Coast Drainage,5.277777778,99,2.5,39,1
402,California CD 2. Sacramento Drainage,5.166666667,96,2.7,38.6,1
403,California CD 3. Northeast Interior Basins,0.833333333,117,5.3,28.2,1
404,California CD 4. Central Coast Drainage,9.333333333,95,2.1,46.7,1
405,California CD 5. San Joaquin Drainage,6.666666667,99,2.5,41.5,1
406,California CD 6. South Coast Drainage,11.16666667,110,3.4,48.7,1
407,California CD 7. Southeast Desert Basins,9.722222222,113,3.6,45.9,1
501,Colorado CD 1. Arkansas Drainage,0.333333333,108,4.3,28.3,1
502,Colorado CD 2. Colorado Drainage,-5.055555556,87,2.3,20.6,1
503,Colorado CD 3. Kansas Drainage,0.833333333,122,6.9,26.6,1
504,Colorado CD 4. Platte Drainage,-1.444444444,114,5.4,24,1
505,Colorado CD 5. Rio Grande Drainage,-6.888888889,72,1.3,18.3,1
601,Connecticut CD 1. Northwest,-0.944444444,119,7.6,22.7,1
602,Connecticut CD 2. Central,0.722222222,120,7.9,25.4,1
603,Connecticut CD 3. Coastal,2.055555556,120,7.7,28,1
701,Delaware CD 1. Northern,3.388888889,116,6.7,31.4,1
702,Delaware CD 2. Southern,4.944444444,118,6.9,34,1
801,Florida CD 1. Northwest,13.61111111,110,5,51.5,1
802,Florida CD 2. North,14.61111111,109,4.3,54,1
803,Florida CD 3. North Central,16.66666667,107,3.8,58.2,1
804,Florida CD 4. South Central,17.88888889,107,3.3,60.9,1
805,Florida CD 5. Everglades and Southwest Coast,19.66666667,108,3.2,64.2,1
806,Florida CD 6. Lower East Coast,20.66666667,110,3.7,65.5,1
807,Florida CD 7. Keys,21.94444444,112,3.6,67.9,1
901,Georgia CD 1. Northwest,7.722222222,114,5.6,40.3,1
902,Georgia CD 2. North Central,7.5,113,5.2,40.3,1
903,Georgia CD 3. Northeast,8.333333333,114,5.2,41.8,1
904,Georgia CD 4. West Central,9.666666667,113,5.3,44.1,1
905,Georgia CD 5. Central,10.88888889,117,5.9,45.7,1
906,Georgia CD 6. East Central,11.66666667,117,6.3,46.7,1
907,Georgia CD 7. Southwest,12.11111111,108,4.6,49.2,1
908,Georgia CD 8. South Central,12.27777778,108,4.7,49.4,1
909,Georgia CD 9. Southeast,13.16666667,113,5,50.7,1
1001,Idaho CD 1. Panhandle,-1.055555556,117,6.9,23.2,1
1002,Idaho CD 2. North Central Prairies,-0.166666667,111,5.4,26.3,1
1003,Idaho CD 3. North Central Canyons,0.888888889,112,5.5,28.1,1
1004,Idaho CD 4. Central Mountains,-3.277777778,112,5.1,21,1
1005,Idaho CD 5. Southwestern Valleys,1.388888889,119,6.7,27.8,1
1006,Idaho CD 6. Southwestern Highlands,-0.166666667,110,5.4,26.3,1
1007,Idaho CD 7. Central Plains,-1,118,6.8,23.4,1
1008,Idaho CD 8. Northeastern Valleys,-6.222222222,93,3.7,17.1,1
1009,Idaho CD 9. Upper Snake River Plains,-5,100,4.6,18.4,1
1010,Idaho CD 10. Eastern Highlands,-3.833333333,109,5.1,20,1
1101,Illinois CD 1. Northwest,-2.666666667,115,7.3,19.9,1
1102,Illinois CD 2. Northeast,-1.777777778,119,7.5,21.3,1
1103,Illinois CD 3. West,-1.5,109,5.5,23.8,1
1104,Illinois CD 4. Central,-0.777777778,114,6.9,23.7,1
1105,Illinois CD 5. East,-0.277777778,121,7.6,23.9,1
1106,Illinois CD 6. West Southwest,0.333333333,110,5.5,27.1,1
1107,Illinois CD 7. East Southeast,1.277777778,116,6.6,27.7,1
1108,Illinois CD 8. Southwest,2.611111111,111,5.6,31.1,1
1109,Illinois CD 9. Southeast,3.111111111,116,6.2,31.4,1
1201,Indiana CD 1. Northwest,-0.277777778,120,8.2,23.3,1
1202,Indiana CD 2. North Central,0,120,8.4,23.6,1
1203,Indiana CD 3. Northeast,-0.166666667,119,8.1,23.6,1
1204,Indiana CD 4. West Central,0.888888889,119,7.5,26.1,1
1205,Indiana CD 5. Central,1.333333333,121,8,26.4,1
1206,Indiana CD 6. East Central,1.222222222,121,8.4,25.8,1
1207,Indiana CD 7. Southwest,2.833333333,119,6.9,30.2,1
1208,Indiana CD 8. South Central,2.777777778,117,7.1,29.9,1
1209,Indiana CD 9. Southeast,2.944444444,121,7.8,29.5,1
1301,Iowa CD 1. Northwest,-7,95,4.8,14.6,1
1302,Iowa CD 2. North Central,-6.666666667,102,5.8,14.2,1
1303,Iowa CD 3. Northeast,-5.388888889,112,7.2,15.1,1
1304,Iowa CD 4. West Central,-5.111111111,99,5.1,17.7,1
1305,Iowa CD 5. Central,-5,101,5.2,17.8,1
1306,Iowa CD 6. East Central,-3.888888889,110,6.1,18.9,1
1307,Iowa CD 7. Southwest,-3.555555556,97,4.8,20.8,1
1308,Iowa CD 8. South Central,-3.666666667,98,4.3,21.1,1
1309,Iowa CD 9. Southeast,-3.166666667,104,4.7,21.6,1
1401,Kansas CD 1. Northwest,0.166666667,108,5.5,26.8,1
1402,Kansas CD 2. North Central,-0.777777778,102,4.8,25.8,1
1403,Kansas CD 3. Northeast,-0.888888889,104,4.8,25.6,1
1404,Kansas CD 4. West Central,1.222222222,116,6,28.2,1
1405,Kansas CD 5. Central,0.611111111,106,5,28.1,1
1406,Kansas CD 6. East Central,0.777777778,108,5.2,28.2,1
1407,Kansas CD 7. Southwest,2.222222222,115,5.5,30.5,1
1408,Kansas CD 8. South Central,2.166666667,112,5.4,30.5,1
1409,Kansas CD 9. Southeast,2.666666667,114,5.6,31.2,1
1501,Kentucky CD 1. Western,4.555555556,111,5.8,34.4,1
1502,Kentucky CD 2. Central,4.666666667,113,6.5,33.9,1
1503,Kentucky CD 3. Blue Grass,4,116,7.4,31.8,1
1504,Kentucky CD 4. Eastern,4.666666667,114,6.4,34,1
1601,Louisiana CD 1. Northwest,10.11111111,108,4.5,45.7,1
1602,Louisiana CD 2. North Central,10,107,4.7,45.3,1
1603,Louisiana CD 3. Northeast,10,102,4.1,45.9,1
1604,Louisiana CD 4. West Central,11.05555556,103,4,47.9,1
1605,Louisiana CD 5. Central,11.44444444,100,3.6,49,1
1606,Louisiana CD 6. East Central,12.72222222,105,4.5,50.4,1
1607,Louisiana CD 7. Southwest,13.38888889,107,4.5,51.6,1
1608,Louisiana CD 8. South Central,13.77777778,108,4.6,52.2,1
1609,Louisiana CD 9. Southeast,14.27777778,104,4.2,53.5,1
1701,Maine CD 1. North,-8,118,7.7,9.9,1
1702,Maine CD 2. South Interior,-4.611111111,117,7.7,16,1
1703,Maine CD 3. Coastal,-2.888888889,118,6.9,19.9,1
1801,Maryland CD 1. Southeastern Shore,6,119,7,35.8,1
1802,Maryland CD 2. Central Eastern Shore,5,118,6.7,34.3,1
